Date,Bitcoin (USD),Ethereum (USD),Gold (USD per oz),Cardano (ADA),Binance Coin (BNB),Ripple (XRP),Dogecoin (DOGE),Solana (SOL)
2015-01-01,1099.6714153011233,102.7600966825739,1199.0718697640357,0.4904426585037195,19.915520043662603,0.20948077436461243,0.04592978063713303,5.987009259173539
2015-01-02,1135.8449851840048,110.80619317080367,1201.928708399163,0.5268767759785437,20.27186264374279,0.2220405416381577,0.05481766731636012,5.6875076007178444
2015-01-03,1250.613838994074,116.2866994516849,1201.829678324068,0.5200086465128736,19.97407497963107,0.2298634640235037,0.04925452344572249,7.050012334086487
2015-01-04,1452.9168246348765,118.39331439448816,1199.8582722799692,0.5634348266538154,19.942816406477696,0.2432239760586943,0.04729838756248757,7.9035781719773
2015-01-05,1479.501487162543,128.3228645396826,1200.0141895614383,0.6442351535993893,20.201744883691266,0.23813748328776618,0.04458403338553911,8.14052183408775
2015-01-06,1506.087791467625,136.1667687540024,1203.3905279637297,0.6282690692589805,21.409069467352804,0.22164176507978167,0.05346870204348242,8.152743802579206
2015-01-07,1714.0090730183642,142.44818993121572,1204.2210080638597,0.641740296394222,21.75947140258269,0.24090453467928247,0.05301362136073643,9.493874744346016
2015-01-08,1840.752545933655,145.1635737144123,1204.7460517925192,0.684806832045993,22.886805560516045,0.24377850832464124,0.04919953634743144,9.843388428195908
2015-01-09,1843.8051073401598,158.35882042224185,1208.5204750819248,0.6830139642969227,23.296967206361504,0.26527236819879324,0.053425590742001754,9.644495332366072
2015-01-10,1948.0611116987561,184.8949931071647,1206.157765387816,0.726229992338256,23.403425084124034,0.2618540806450978,0.058731495694965344,9.759925565391747
2015-01-11,1951.71934241751,196.29386543555597,1204.0865671597105,0.773999935370843,24.47310334542438,0.30017229345495133,0.06406917616893601,11.029130214280908
2015-01-12,1955.1463670604844,216.25504758466727,1201.3548742177768,0.8481630241855582,24.99161215646109,0.33019359030636664,0.06471248034280595,9.918577013034868
2015-01-13,2029.3425942170877,212.35282833313263,1202.600170590737,0.8378635218813126,24.970251359519732,0.3461301324772842,0.0679851518479907,10.063168107454395
2015-01-14,1888.014569751308,223.93044272607034,1203.4331568449672,0.8107247598697889,25.50553708921988,0.3518643642095653,0.06673398641684426,11.63375077713016
2015-01-15,1765.5227865000047,222.95675953635964,1207.0186295795268,0.8153458903916018,25.65923971426608,0.37891254176552924,0.07710799480652292,11.965534005026901
2015-01-16,1759.2940335759074,218.18751026104064,1208.0055797338002,0.7869582734142467,24.96472261618043,0.39676349807027733,0.08482902059981257,12.738350737304742
2015-01-17,1708.010921542465,220.79379618645027,1207.6972654148417,0.8351831836166216,25.73270919581324,0.41153518182888943,0.09224380474501595,14.325119701841937
2015-01-18,1789.4356548019923,242.712789530586,1208.200855160598,0.7970956186078011,26.580176223634204,0.44239249002008163,0.09821438441788367,15.717449355239106
2015-01-19,1748.6332472498711,262.2129478172825,1208.9362699975197,0.9337464395204355,27.79914723863034,0.4809232131082144,0.10281305094785868,15.777390582199184
2015-01-20,1657.402877116342,274.6429950378265,1206.0927474508635,1.018542832599123,28.310219084727972,0.46587498941850347,0.09859123852710974,16.146997029995347
2015-01-21,1853.9677540084976,269.31598943892715,1212.0134107395334,1.0391716210791389,28.485857372686706,0.45486730727150737,0.10375774470838799,17.55176093172436
2015-01-22,1881.390123959844,277.3531829250478,1213.553152775737,1.1025413457290374,29.203352086376,0.4492620927619314,0.10632907085870458,18.99123041900826
2015-01-23,1938.1429444286364,290.3701830140651,1214.4731693917822,1.040701252513498,29.92826226903545,0.42921360080906035,0.11464589128345919,19.403180293693318
2015-01-24,1845.6681258072908,302.1255453098511,1216.2034973603395,1.1868699190834757,31.04740286060366,0.43795863029767734,0.12068298719537132,19.849634641400893
2015-01-25,1841.2298533547723,293.68760947504364,1218.1223193215126,1.1773591884734511,31.325089049070442,0.4599609594025675,0.12543488954613644,20.617318335934744
2015-01-26,1902.322112325759,294.7844309948449,1218.3412123505077,1.1913343177784832,31.542299562786646,0.4695325935035207,0.11901376555848565,22.484219025952036
2015-01-27,1837.2227545835287,304.14365335335776,1217.5787300780264,1.1185376534190614,31.48452735290738,0.46885016067126284,0.1205687628754433,24.051785146609994
2015-01-28,1924.792556418096,319.5065624485296,1219.2776314506698,1.1628520186561062,32.05325839626998,0.501379315813846,0.11977930157592502,25.24517185040901
2015-01-29,1914.7286874262154,307.54528423753015,1220.5490531317328,1.1275348108022507,31.579127562154564,0.514190443877981,0.12304113119684039,24.66650257434512
2015-01-30,1935.5593124468878,315.9240444827316,1219.4292729335539,1.152617598880552,32.267171248585846,0.5310501032253073,0.12296338983962717,24.891669167796863
2015-01-31,1925.388651223948,327.3545321815211,1222.7673441562883,1.1454038772343251,32.86108880951874,0.5641347993233026,0.12358366095916064,25.16938249410696
2015-02-01,2160.616469674842,345.8506520666832,1223.8540482289343,1.111516680487808,33.45362391074793,0.5716699605462798,0.12787883048369414,27.087867526710433
2015-02-02,2209.2667472010485,362.7792279090576,1225.8136869534696,1.0912986053996772,33.822736528998846,0.6228742419987734,0.1277181399158503,27.349003135530793
2015-02-03,2153.4956543054586,378.6049410971457,1229.0975287288295,1.1225880071039533,34.88922565276439,0.6239179419213381,0.13032609761372033,29.102445958608406
2015-02-04,2285.750145515777,380.60553603012636,1229.641306371159,1.078513458460512,35.62522238547782,0.6738769060115961,0.12472903815934881,29.031747288077323
